Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora azatica],Kitasatospora azatica,78.6,78.6,45%,2e-15,32.70,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_035839686.1?report=genbank&log$=prottop&blast_rank=12&RID=HARJ45W701R"",""WP_035839686.1"")"
MULTISPECIES: thiopeptide-type bacteriocin biosynthesis protein [unclassified Kitasatospora],unclassified Kitasatospora,75.1,75.1,95%,3e-14,29.51,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057236403.1?report=genbank&log$=prottop&blast_rank=13&RID=HARJ45W701R"",""WP_057236403.1"")"
hypothetical protein [Kitasatospora viridis],Kitasatospora viridis,73.2,73.2,45%,2e-13,30.19,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_145908791.1?report=genbank&log$=prottop&blast_rank=14&RID=HARJ45W701R"",""WP_145908791.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora gansuensis],Kitasatospora gansuensis,72.8,72.8,98%,2e-13,28.25,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_184922993.1?report=genbank&log$=prottop&blast_rank=15&RID=HARJ45W701R"",""WP_184922993.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora sp. RG8],Kitasatospora sp. RG8,72.0,72.0,42%,4e-13,38.26,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_209413600.1?report=genbank&log$=prottop&blast_rank=16&RID=HARJ45W701R"",""WP_209413600.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora sp. MMS16-BH015],Kitasatospora sp. MMS16-BH015,68.6,68.6,95%,5e-12,28.61,315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104820019.1?report=genbank&log$=prottop&blast_rank=17&RID=HARJ45W701R"",""WP_104820019.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora sp. MBT63],Kitasatospora sp. MBT63,68.9,68.9,59%,9e-12,30.33,597,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082527048.1?report=genbank&log$=prottop&blast_rank=18&RID=HARJ45W701R"",""WP_082527048.1"")"
hypothetical protein [Kitasatospora sp. MBT63],Kitasatospora sp. MBT63,67.8,67.8,93%,1e-11,24.49,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_033822908.1?report=genbank&log$=prottop&blast_rank=19&RID=HARJ45W701R"",""WP_033822908.1"")"
hypothetical protein [Kitasatospora kifunensis],Kitasatospora kifunensis,66.2,66.2,47%,3e-11,29.76,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_184946721.1?report=genbank&log$=prottop&blast_rank=20&RID=HARJ45W701R"",""WP_184946721.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora sp. SUK 42],Kitasatospora sp. SUK 42,64.3,64.3,95%,1e-10,26.18,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_196949982.1?report=genbank&log$=prottop&blast_rank=21&RID=HARJ45W701R"",""WP_196949982.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora phosalacinea],Kitasatospora phosalacinea,63.5,63.5,54%,2e-10,29.95,312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158715231.1?report=genbank&log$=prottop&blast_rank=22&RID=HARJ45W701R"",""WP_158715231.1"")"
SagB family peptide dehydrogenase [Kitasatospora aureofaciens],Kitasatospora aureofaciens,63.9,63.9,58%,4e-10,31.46,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_218199003.1?report=genbank&log$=prottop&blast_rank=23&RID=HARJ45W701R"",""WP_218199003.1"")"
nitroreductase family protein [Kitasatospora sp. MMS16-BH015],Kitasatospora sp. MMS16-BH015,58.5,58.5,84%,2e-08,28.43,764,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_217368158.1?report=genbank&log$=prottop&blast_rank=24&RID=HARJ45W701R"",""WP_217368158.1"")"
hypothetical protein GCM10018790_62330 [Kitasatospora xanthocidica],Kitasatospora xanthocidica,55.8,55.8,62%,2e-07,28.95,559,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GHF75922.1?report=genbank&log$=prottop&blast_rank=25&RID=HARJ45W701R"",""GHF75922.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora xanthocidica],Kitasatospora xanthocidica,55.1,55.1,48%,3e-07,29.59,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_189922695.1?report=genbank&log$=prottop&blast_rank=26&RID=HARJ45W701R"",""WP_189922695.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora sp. MY 5-36],Kitasatospora sp. MY 5-36,50.1,50.1,60%,1e-05,28.96,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_049659184.1?report=genbank&log$=prottop&blast_rank=27&RID=HARJ45W701R"",""WP_049659184.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora xanthocidica],Kitasatospora xanthocidica,47.0,47.0,59%,1e-04,29.95,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_117485547.1?report=genbank&log$=prottop&blast_rank=28&RID=HARJ45W701R"",""WP_117485547.1"")"
hypothetical protein [Kitasatospora sp. MBT63],Kitasatospora sp. MBT63,46.6,46.6,26%,1e-04,32.98,384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158515427.1?report=genbank&log$=prottop&blast_rank=29&RID=HARJ45W701R"",""WP_158515427.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora azatica],Kitasatospora azatica,46.6,46.6,69%,1e-04,25.81,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051969186.1?report=genbank&log$=prottop&blast_rank=30&RID=HARJ45W701R"",""WP_051969186.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora sp. MMS16-BH015],Kitasatospora sp. MMS16-BH015,41.2,41.2,70%,0.008,25.40,552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104819508.1?report=genbank&log$=prottop&blast_rank=31&RID=HARJ45W701R"",""WP_104819508.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora sp. OK780],Kitasatospora sp. OK780,39.3,39.3,8%,0.018,51.61,271,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_100893330.1?report=genbank&log$=prottop&blast_rank=32&RID=HARJ45W701R"",""WP_100893330.1"")"
thiopeptide-type bacteriocin biosynthesis protein [Kitasatospora griseola],Kitasatospora griseola,38.9,38.9,35%,0.028,26.83,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_189275329.1?report=genbank&log$=prottop&blast_rank=33&RID=HARJ45W701R"",""WP_189275329.1"")"
hypothetical protein [Kitasatospora sp. MMS16-BH015],Kitasatospora sp. MMS16-BH015,38.5,38.5,39%,0.040,32.64,391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104819511.1?report=genbank&log$=prottop&blast_rank=34&RID=HARJ45W701R"",""WP_104819511.1"")"



		


